게시판코드,데이터코드,데이터코드,데이터그룹코드,데이터그룹명,게시판명,본문,조회수,공지여부,공개여부,시작일,종료일,전자정부코드,전자정부코드명,저작물분류코드,공모저작물등록일,기관코드,기관코드명
KOGL_005,A005,게시판,FAQ-4,FAQ,공공기관 이용자는 회원 가입 후 승인을 받아야 하나요,공공기관 이용자는 공공누리 사이트에서 공공저작물 공공누리 등록 시 필요한 고유정보를 받아야 하므로 관지라의 승인이 필요합니다. 회원가입 후 메일 또는 유선으로 연락주시면 확인 후 바로 승인해드립니다.,2,N,Y,2012-03-02,2012-03-02,40250306,한국문화정보원,doc,2012-03-02,40250306,한국문화정보원
KOGL_005,A005,게시판,FAQ-2,FAQ,일반이용자도 회원 가입이 가능한가요,공공누리 사이트에서 일반이용자는 회원 가입 없이 모든 서비스 이용이 가능합니다.회원 가입은 공공기관 이용자의 공공저작물공공누리등록을 위해 필요한 부분입니다.,2,N,Y,2012-03-02,2012-03-02,40250306,한국문화정보원,doc,2012-03-02,40250306,한국문화정보원
KOGL_005,A005,게시판,FAQ-51,FAQ,공공누리 사이트에서는 어떠한 저작물 검색이 가능한가요,"공공저작물 검색 기본적인 키워드 검색과 전체기간, 전체기관, 유형별, 카테고리별 분류 검색이 가능합니다.,",0,Y,Y,2017-12-07,2017-12-07,40250306,한국문화정보원,doc,2017-12-07,40250306,한국문화정보원
KOGL_005,A005,게시판,FAQ-22,FAQ,"회원탈퇴 시, 개인정보는 모두 삭제되나요","회원 탈퇴 후 회원의 모든 정보는 삭제됩니다.다만 고객의 구매 이력이 있는 경우 해당 고객의 구매 정보는 5년간 보관되며, 해당 고객의 요청이 있는 경우 해당 정보는 고객에게 언제든 제공이 됩니다.",3,N,Y,2012-03-02,2012-03-02,40250306,한국문화정보원,doc,2012-03-02,40250306,한국문화정보원
KOGL_005,A005,게시판,FAQ-11,FAQ,공공기관 이용자는 회원 가입 후 승인을 받아야 하나요,공공기관 이용자는 공공누리 사이트에서 공공저작물 공공누리 등록 시 필요한 고유정보를 받아야 하므로 관리자의 승인이 필요합니다. 회원 가입 후 메일 또는 유선으로 연락 주시면 확인 후 바로 승인해드립니다.,6,N,Y,2012-03-02,2012-03-02,40250306,한국문화정보원,doc,2012-03-02,40250306,한국문화정보원
KOGL_005,A005,게시판,FAQ-48,FAQ,공공기관 이용자는 회원 가입 후 승인을 받아야 하나요,"공공기관 이용자는 공공누리 사이트에서 공공저작물 공공누리 등록 시 필요한 고유정보를 받아야 하므로 관리자의 승인이 필요합니다. 관리자의 검증과정을 거쳐 보통 1~2일 이내로 처리하여 드리며,회원 가입 후 메일 또는 유선으로 연락 주시면 확인 후 바로 승인해드립니다.",2,N,Y,2015-04-02,2015-04-02,40250306,한국문화정보원,doc,2015-04-02,40250306,한국문화정보원
KOGL_005,A005,게시판,FAQ-50,FAQ,공공기관 이용자는 회원 가입 후 승인을 받아야 하나요,"공공기관 이용자는 공공누리 사이트에서 공공저작물 공공누리 등록 시 필요한 고유정보를 받아야 하므로 관리자의 승인이 필요합니다. 관리자의 검증과정을 거쳐 보통 1~2일 이내로 처리하여 드리며, 회원 가입 후 메일 또는 유선으로 연락 주시면 확인 후 바로 승인해드립니다.",1,N,Y,2015-04-02,2015-04-02,40250306,한국문화정보원,doc,2015-04-02,40250306,한국문화정보원
KOGL_005,A005,게시판,FAQ-55,FAQ,출처표시는 어떻게 하는 건가요,"출처표시는 이용한 저작물의 출처가 어디인지 나타내기 위함이므로,누구나 해당 저작물의 출처를 명확히 알 수 있도록 표기하여 주시면 됩니다.1. 상세 표시 예시""본 저작물은'OOO(기관명)'에서 'OO년' 작성하여 공공누리 제O유형으로 개방한 '저작물명(작성자:OOO)' 을 이용하였으며,해당 저작물은 'OOO(기관명), OOO(홈페이지 주소)'에서 무료로 다운받으실 수 있습니다.""2, 간략 표시 예시출처: 공공누리출처: 문화체육관광부※주의사항- 공공누리 유형마크를 부착하는 것이 아니라 제공 기관(저작자), 출처(홈페이지 주소)등을 표시하는 것이므로 유의하시기 바랍니다.- 공공누리 유형마크는 공공저작물을 개방하는 공공기관에서 이용범위를 안내하기위해 1~4유형 마크를 부착하며 이용자는 부착할 수 없습니다추가적인 사항은 공공누리 홈페이지 ""공공누리 소개공공누리 유형안내 유형별 일반증서 보기"" 메뉴에서 확인하실 수 있습니다",0,Y,Y,2017-12-07,2017-12-07,40250306,한국문화정보원,doc,2017-12-07,40250306,한국문화정보원
KOGL_005,A005,게시판,FAQ-53,FAQ,"공공누리 표시가 부착되어 있어도 기관에 문의하여 제공을 요청하는 편인데, 공공누리 표시가 부착되어 있으면 제공 기관에 문의할 필요 없이 부착된 유형에 따라서 이용해도 되는 건가요","네, 별도의 제공 요청을 할 필요 없이 이용하셔도 됩니다. 다만, 상업적 이용불가/ 변경불가 표시가 되어있는 저작물을 상업적 이용 또는 변경하여 사용하시려면, 담당 기관에 문의하여 허락을 별도로 받으셔야 합니다.",0,Y,Y,2017-12-08,2015-06-03,40250306,한국문화정보원,doc,2017-12-07,40250306,한국문화정보원
KOGL_005,A005,게시판,FAQ-54,FAQ,공공저작물을 사용할 때 공공누리 표시를 부착하면 되나요,"공공저작물 이용자는 공공누리 표시를 부착하는 것이 아니라, 공공누리 유형의 이용조건에 맞게 이용하시되 출처표시 해야합니다.",0,Y,Y,2017-12-07,2017-12-07,40250306,한국문화정보원,doc,2017-12-07,40250306,한국문화정보원
KOGL_005,A005,게시판,FAQ-56,FAQ,공공누리 저작물을 온오프라인에서 이용할 때 저작권 표시가 있다면 출처를 해당 이미지나 텍스트를 제공한 공공기관명으로 표시하는지요,네 맞습니다. 제공한 공공기관명으로 표시하시면 됩니다. 참고로 공공기관 외 원작자 성명이 있다면 둘을 함께 표시하는 것이 바람직합니다.,0,Y,Y,2017-12-07,2017-12-07,40250306,한국문화정보원,doc,2017-12-07,40250306,한국문화정보원
KOGL_005,A005,게시판,FAQ-58,FAQ,"사용하고 싶은 공공저작물이 공공누리 표시가 붙어있지 않는 경우, 사용가능한 방법이 없을까요","공공누리 사이트에 아직 개방되지 않은 공공저작물은 자용이용예외사유에 해당하거나 개방이 곤란한 경우일 수 있습니다. 만약 사용하시고 싶으시다면, 해당 기관 담당자에게 문의 바랍니다",0,Y,Y,2017-12-07,2017-12-07,40250306,한국문화정보원,doc,2017-12-07,40250306,한국문화정보원
KOGL_005,A005,게시판,FAQ-59,FAQ,공공누리 유형별 다른 점이 뭔가요,"공공누리 유형은 총 4가지 입니다. 1유형 : 출처표시 후 상업적, 비상업적 이용가능 (변형 등 2차적 저작물 작성 가능) 2유형 : 출처표시 후 비상업적 이용만 가능 (변형 등 2차적 저작물 작성 가능),3유형 : 출처표시 후 상업적, 비상업적 이용가능 (변형 등 2차적 저작물 작성 금지) ,4유형 : 출처표시 후 비상업적 이용만 가능 (변형 등 2차적 저작물 작성 금지)",0,Y,Y,2017-12-07,2017-12-07,40250306,한국문화정보원,doc,2017-12-07,40250306,한국문화정보원
KOGL_005,A005,게시판,FAQ-60,FAQ,공공누리가 부착되어있는 오프라인 공공저작물은 어떻게 이용하나요,온라인 공공저작물과 같이 동일하게 유형표시에 따라 이용하시면 됩니다.,0,Y,Y,2017-12-07,2017-12-07,40250306,한국문화정보원,doc,2017-12-07,40250306,한국문화정보원
KOGL_005,A005,게시판,FAQ-61,FAQ,"공공누리 2, 4유형은 상업적 활용금지라고 하는데 상업적 활용이란 어떤 의미인가요",공공저작물을 활용하여 작성한 저작물이 개인적인 수익을 냈을 경우를 뜻합니다. (이는 기업 홍보 등 간접적인 수익 활동도 포함될 수 있습니다.),0,Y,Y,2017-12-07,2017-12-07,40250306,한국문화정보원,doc,2017-12-07,40250306,한국문화정보원
KOGL_005,A005,게시판,FAQ-63,FAQ,공공저작물 중 오프라인 저작물은 공공누리 등록을 할 수 없나요,현재 공공누리 사이트는 온라인 페이지에서 제공하는 저작물에 한해 공공누리를 적용할 수 있도록 구축되어 있습니다.오프라인의 경우 사이트에 제공하는 오프라인 적용방법 참조하시면 됩니다. ,0,Y,Y,2017-12-08,2017-12-08,40250306,한국문화정보원,doc,2017-12-08,40250306,한국문화정보원
KOGL_005,A005,게시판,FAQ-57,FAQ,민간기업 저작물에 공공누리 표시를 부착하고 싶습니다. 가능할까요,공공누리 제도는 공공저작물에 한하여 적용하므로 민간 저작물에 표시할 수 없습니다.,0,Y,Y,2017-12-07,2017-12-07,40250306,한국문화정보원,doc,2017-12-07,40250306,한국문화정보원
KOGL_005,A005,게시판,FAQ-64,FAQ,공공누리로 등록된 저작물은 어떻게 확인하나요,상단의 공공기관 저작물 등록에서 등록하신 저작물은 관리자  등록저작물 관리 메뉴에서 확인할 수 있습니다.※ 등록저작물 관리페이지에서는 모든 기관에 신청하신 내용이 확인되오니 검색조건을 선택하시면 필터링되어 쉽게 확인할 수 있습니다.,0,Y,Y,2017-12-08,2017-12-08,40250306,한국문화정보원,doc,2017-12-08,40250306,한국문화정보원
KOGL_005,A005,게시판,FAQ-65,FAQ,공공누리로 등록된 저작물은 수정 및 삭제가 가능한가요,"① 로그인 한 다음 상단에 관리자를 클릭합니다.② 좌측메뉴에서 등록저작물 관리를 클릭합니다.③ 등록하신 저작물을 검색하면 목록이 출력되고, 내용을 확인하면 삭제, 수정을 할 수 있습니다. ",0,Y,Y,2017-12-08,2017-12-08,40250306,한국문화정보원,doc,2017-12-08,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-20,FAQ,제공기관에서 공공누리 저작물을 다운받은 후 출처표시는 어떻게 해야 하나요,공공누리 [이용안내]-[일반이용자]를 확인하시면 쉽게 이해할 수 있습니다.,5,N,Y,2012-04-26,2012-04-26,40250306,한국문화정보원,doc,2012-04-26,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-26,FAQ,공공저작물 공공누리 등록은 어떻게 하나요,"① 로그인 후, 상단의 「공공기관 저작물등록」을 클릭하여 저작물등록 메뉴로 이동합니다. ② 한건씩 직접등록 할 수 있는 '개별등록', 제공되는 엑셀서식을 통해 일괄취합 등록할 수 있는 '일괄등록' 방식을 지원합니다.",1,N,Y,2014-05-28,2014-05-28,40250306,한국문화정보원,doc,2014-05-28,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-6,FAQ,다운로드 받은 공공누리 콘텐츠는 명시된 이용조건 용도 외에 다른용도로 활용이 가능한가요,"공공누리 콘텐츠는 정해진 용도로만 사용해야 하며, 활용 시 공공누리 마크 부착 및 출처표시는 필수입니다.",1,N,Y,2012-03-02,2012-03-02,40250306,한국문화정보원,doc,2012-03-02,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-3,FAQ,공공누리 단일등록 시 썸네일 이미지를 꼭 첨부해야 하나요,썸네일 첨부는 필수사항이 아닙니다. 다만 썸네일을 첨부해 주실 경우 이용자는 검색을 통해 좀 더 편리하게 공공누리 콘텐츠를 확인할 수 있습니다.,0,N,Y,2012-03-02,2012-03-02,40250306,한국문화정보원,doc,2012-03-02,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-4,FAQ,공공누리 사이트에서는 어떠한 검색이 가능한가요,"기본적으로 유형별, 기관별, 주제별 등의 키워드 검색이 가능합니다.",1,N,Y,2012-03-02,2012-03-02,40250306,한국문화정보원,doc,2012-03-02,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-5,FAQ,검색된 공공누리 콘텐츠는 어떻게 제공받을 수 있나요,공공누리 저작물은 기본적으로 공공누리 사이트에서 제공해드리는 링크를 이용하시어 제공기관에서 직접 다운로드 받으실 수 있습니다.,1,N,Y,2012-03-02,2012-03-02,40250306,한국문화정보원,doc,2012-03-02,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-30,FAQ,공공누리로 등록한 저작물은 수정 및 삭제가 가능한가요,"① 로그인 후,;마이페이지-나의공공누리저작물 메뉴에서 등록하신 저작물들을 수정 또는 삭제 할 수 있습니다.② 일괄등록 하신 경우도 건건에 대하여 수정 또는 삭제가 가능하며, 일괄로 삭제할 수도 있습니다. ",1,N,Y,2014-05-28,2014-05-28,40250306,한국문화정보원,doc,2014-05-28,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-12,FAQ,공공저작물 중 오프라인 콘텐츠는 공공누리 등록을 할 수 없나요,현재 공공누리 사이트는 온라인 페이지에서 제공하는 저작물에 한해 공공누리를 적용할 수 있도록 구축되어 있습니다. 오프라인의 경우 사이트에 제공하는 오프라인 적용방법 또는 공공누리 가이드라인을 참조하시면 됩니다.,14,N,Y,2012-03-02,2012-03-02,40250306,한국문화정보원,doc,2012-03-02,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-29,FAQ,공공누리로 등록한 저작물은 수정 및 삭제가 가능한가요,"① 로그인 후, 마이페이지-나의공공누리저작물 메뉴에서 등록하진 저작물들의 수정/삭제 할 수 있습니다.② 일괄등록 하신 경우도 건건에 대하여 수정 또는 삭제가 가능하며, 일괄로 삭제할 수도 있습니다.",1,N,Y,2014-05-28,2014-05-28,40250306,한국문화정보원,doc,2014-05-28,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-28,FAQ,공공저작물 공공누리 등록은 어떻게 하나요,"① 로그인 후, 상단의 「공공기관 저작물등록」을 클릭하여 저작물등록 메뉴로 이동합니다..② 한건씩 직접등록 할 수 있는 '개별등록', 제공되는 엑셀서식을 통해 일괄취합 등록할 수 있는 '일괄등록' 방식을 지원합니다.  ",6,N,Y,2014-05-28,2014-05-28,40250306,한국문화정보원,doc,2014-05-28,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-25,FAQ,공공저작물 중 오프라인 저작물은 공공누리 등록을 할 수 없나요,현재 공공누리 사이트는 온라인 페이지에서 제공하는 저작물에 한해 공공누리를 적용할 수 있도록 구축되어 있습니다. 오프라인의 경우 사이트에 제공하는 오프라인 적용방법 또는 공공누리 가이드라인을 참조하시면 됩니다.,7,N,Y,2012-04-26,2012-04-26,40250306,한국문화정보원,doc,2012-04-26,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-22,FAQ,다운로드 받은 공공누리 저작물에 명시된 이용조건 용도 외에 다른용도로 활용이 가능한가요,"공공누리 저작물은 정해진 용도로만 사용해야 하며, 활용 시 공공누리 마크 부착 및 출처표시는 필수입니다.",2,N,Y,2012-04-26,2012-04-26,40250306,한국문화정보원,doc,2012-04-26,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-34,FAQ,제공기관에서 공공누리 저작물을 다운받은 후 출처표시는 어떻게 해야 하나요, 공공누리 [이용안내]-[일반이용자]를 확인하시면 쉽게 이해할 수 있습니다.또한 다운로드 받은 저작물을 사용하는 공간에 약식으로 출처를 표시하셔도 무방합니다.※ ex : 출처-○○○○ ,2,N,Y,2014-05-28,2014-05-28,40250306,한국문화정보원,doc,2014-05-28,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-7,FAQ,공공누리 콘텐츠를 이용조건 외에 다른 용도로 활용하려면 어떻게 해야 하나요,공공누리 콘텐츠를 제공하는 공공기관의 문의하시어 이용허락을 직접 받으셔야 합니다.,2,N,Y,2018-01-06,2018-04-19,40250306,한국문화정보원,doc,2012-03-02,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-27,FAQ,공공저작물 공공누리 등록은 어떻게 하나요,"① 로그인 후, 상단의 「공공기관 저작물등록」을 클릭하여 저작물등록 메뉴로 이동합니다..② 한건씩 직접등록 할 수 있는 '개별등록', 제공되는 엑셀서식을 통해 일괄취합 등록할 수 있는 '일괄등록' 방식을 지원합니다. ",2,N,Y,2014-05-28,2014-05-28,40250306,한국문화정보원,doc,2014-05-28,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-23,FAQ,검색된 공공누리 저작물은 어떻게 제공받을 수 있나요,공공누리 저작물은 기본적으로 공공누리 사이트에서 제공해드리는 링크를 이용하시어 제공기관에서 직접 다운로드 받으실 수 있습니다.,4,N,Y,2012-04-26,2012-04-26,40250306,한국문화정보원,doc,2012-04-26,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-32,FAQ,공공누리로 등록한 저작물은 어떻게 확인하나요,"① 로그인 후, 상단의 마이페이지를 클릭하여 들어갑니다..② 나의공공누리저작물 메뉴에서 등록하신 저작물들을 확인하 실 수 있습니다. ",3,N,Y,2014-05-28,2014-05-28,40250306,한국문화정보원,doc,2014-05-28,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-33,FAQ,공공누리로 등록한 저작물은 수정 및 삭제가 가능한가요,"① 로그인 후, 마이페이지-나의공공누리저작물 메뉴에서 등록하신 저작물들을 수정 또는 삭제 할 수 있습니다..② 일괄등록 하신 경우도 건건에 대하여 수정 또는 삭제가 가능하며, 일괄로 삭제할 수도 있습니다.  ",2,N,Y,2014-05-28,2014-05-28,40250306,한국문화정보원,doc,2014-05-28,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-11,FAQ,공공누리 단일등록 시 썸네일 이미지를 꼭 첨부해야 하나요,썸네일 첨부는 필수사항이 아닙니다. 다만 썸네일을 첨부해 주실 경우 이용자는 검색을 통해 좀 더 편리하게 공공누리 콘텐츠를 확인할 수 있습니다.,5,N,Y,2012-03-02,2012-03-02,40250306,한국문화정보원,doc,2012-03-02,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-31,FAQ,공공누리로 등록한 저작물은 어떻게 확인하나요,"① 로그인 후, 상단의 마이페이지를 클릭하여 들어갑니다.② 나의공공누리저작물 메뉴에서 등록하신 저작물들을 확인하 실 수 있습니다.",1,N,Y,2014-05-28,2014-05-28,40250306,한국문화정보원,doc,2014-05-28,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-42,FAQ,검색된 공공누리 저작물은 어떻게 제공받을 수 있나요,"공공누리 저작물은 기본적으로 공공누리 사이트에서 제공해드리는 링크를 이용하시어 제공기관에서 직접 다운로드 받으실 수 있습니다.기관별 다운로드 방식은 상이할 수 있으며, 직접적인 다운로드 기능이 없는 경우는 해당 기관 담당자에게 별도 요청을 하셔야 합니다.",2,N,Y,2015-04-02,2015-04-02,40250306,한국문화정보원,doc,2015-04-02,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-39,FAQ,공공누리로 등록한 저작물은 어떻게 확인하나요,메뉴에서 등록하신 저작물들을 확인하 실 수 있습니다. ,1,N,Y,2015-04-02,2015-04-02,40250306,한국문화정보원,doc,2015-04-02,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-41,FAQ,공공저작물 공공누리 등록은 어떻게 하나요,메뉴를 통해 자동수집을 신청할 수 있습니다.,1,N,Y,2015-04-02,2015-04-02,40250306,한국문화정보원,doc,2015-04-02,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-66,FAQ,공공기관 이용자는 회원 가입 후 승인을 받아야 하나요,"공공기관 이용자는 공공누리 사이트에서 공공저작물 공공누리 등록 시 필요한 고유정보를 받아야 하므로 관리자의 승인이 필요합니다. 관리자의 검증과정을 거쳐 보통 1~2일 이내로 처리하여 드리며,회원 가입 후 메일 또는 유선으로 연락 주시면 확인 후 바로 승인해드립니다.",0,Y,Y,2017-12-07,2017-12-07,40250306,한국문화정보원,doc,2017-12-07,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-68,FAQ,이용약관이란 무엇인가요,이용약관이란 공공누리 사이트 서비스 제공자와 이용자 간에 이루어지는 여러 가지 사항들에 대한 책임과 권한을 설명해주는 문서입니다.,0,Y,Y,2017-12-08,2017-12-08,40250306,한국문화정보원,doc,2017-12-08,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-69,FAQ,아이핀 비밀번호를 재발급 받으려면 어떻게 해야하나요,최초 아이핀 발급기관에 방문하시어 본인확인(이메일) 절차를 정상적으로 마치시면 새로운 비밀번호를 부여받으실 수 있습니다.,0,Y,Y,2017-12-08,2017-12-08,40250306,한국문화정보원,doc,2017-12-08,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-70,FAQ,아이핀은 다른 브라우저에서 사용할 수 없나요,"현재 아이핀은 익스플로에서만 이용이 가능합니다.파이어폭스, 크롬, 사파리 등에서는 이용이 불가능합니다.",0,Y,Y,2017-12-08,2017-12-08,40250306,한국문화정보원,doc,2017-12-08,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-71,FAQ,"회원탈퇴 시, 개인정보는 모두 삭제되나요",공공누리 개인정보보호정책에 따라 회원 탈퇴 후 회원의 모든 정보는 삭제됩니다. ,2,N,Y,2015-04-02,2015-04-02,40250306,한국문화정보원,doc,2015-04-02,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-72,FAQ,공공기관 이용자 회원가입 시 입력사항은 무엇이 있나요,"기관명, 담당부서, 휴대폰 번호, 유선전화번호, 주소, 이메일 사항이 있습니다.",0,Y,Y,2017-12-08,2017-12-08,40250306,한국문화정보원,doc,2017-12-08,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-73,FAQ,동기관 이용자는 가입이 불가능한가요,아닙니다. 가입 가능합니다.동기관의 이용자일 경우 관리자 승인 시 같은 고유정보를 부여하여 공공저작물 공공누리 추가 등록 및 변경이 가능합니다.,0,Y,Y,2017-12-08,2017-12-08,40250306,한국문화정보원,doc,2017-12-08,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-74,FAQ,회원가입 시 중복되는 주민번호가 있다고 나옵니다.,"회원가입 시 주민등록번호가 중복된다고 나오는 경우는 이전에 가입한 사실이 있거나, 일시적인 시스템 오류일 경우가 있습니다.공공누리 사이트 하단에 대표번호로 연락 주시면 점검·조치해 드리겠습니다.※ 2014년 부터 주민등록번호 인증은 삭제되며, 아이핀과 휴대폰인증 만으로 운영됩니다. ",0,Y,Y,2017-12-08,2017-12-08,40250306,한국문화정보원,doc,2017-12-08,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-75,FAQ,아이핀이란 무엇인가요,아이핀은 인터넷 개인 식별 번호로 주민등록번호를 대신하여 본인 확인을 할 수 있는 신원번호입니다. 아이핀을 통해 공공누리에 가입하실 경우 아이핀을 발급하는 기관에 본인 확인 후 아이핀을 발급받고 가입을 진행하시면 됩니다.,0,Y,Y,2017-12-07,2017-12-07,40250306,한국문화정보원,doc,2017-12-07,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-76,FAQ,"비밀번호, e-mail주소를 변경하고 싶어요.","관리자  회원정보수정 페이지에서 비밀번호, e-mail주소 등의 정보를 수정할 수 있습니다.",0,Y,Y,2017-12-07,2017-12-07,40250306,한국문화정보원,doc,2017-12-07,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-78,FAQ,개인정보취급방침이란 무엇인가요,개인정보보호법에 따라 개인정보를 처리하고 있는 공공기관의 개인정보 처리기준 및 보호조치 등을 문서화하여 공개하는 것을 말합니다.,0,Y,Y,2019-01-11,2015-07-03,40250306,한국문화정보원,doc,2017-12-08,40250306,한국문화정보원
KOGL_006,A006,게시판,FAQ-79,FAQ,이용약관이란 무엇인가요,이용약관이란 공공누리 사이트 서비스 제공자와 이용자 간에 이루어지는 여러 가지 사항들에 대한 책임과 권한을 설명해주는 문서입니다.,0,Y,Y,2017-12-08,2017-12-08,40250306,한국문화정보원,doc,2017-12-08,40250306,한국문화정보원
